53238,-6040,1624,14280,169,62,28,-8500,1636,13832,-98,4,-62

53248,-6184,1624,14332,138,45,37,-8544,1672,13688,-97,-16,-80

53258,-6136,1656,14252,152,54,64,-8624,1644,13908,-85,14,-102

53268,-6128,1592,14304,151,46,25,-8600,1628,13876,-90,-9,-83

53278,-6108,1596,14448,141,54,58,-8484,1660,13848,-96,-20,-85

53288,-6184,1692,14508,156,11,35,-8580,1648,13792,-74,-10,-100

53298,-6220,1652,14436,155,20,68,-8484,1600,13932,-101,-33,-104

53308,-6204,1532,14212,130,65,49,-8472,1636,14068,-108,-23,-85

53318,-6196,1688,14140,136,22,67,-8588,1568,13956,-114,-28,-84

53328,-6124,1628,14204,168,40,64,-8608,1616,13828,-111,-27,-67

53338,-6132,1648,14296,163,40,79,-8576,1704,13796,-74,-22,-119

53348,-6192,1676,14168,156,43,37,-8516,1624,13884,-73,-13,-72

53358,-6224,1656,14320,149,30,58,-8604,1672,13960,-88,-32,-56

53368,-6180,1704,14380,153,25,76,-8580,1652,13984,-79,-31,-76

53378,-6148,1632,14316,151,9,49,-8632,1704,13976,-87,-15,-68

53388,-6204,1748,14348,163,14,57,-8484,1744,13832,-95,-19,-51

53398,-6164,1660,14488,146,44,47,-8556,1752,13976,-63,-48,-72

53408,-6152,1668,14336,144,33,66,-8492,1704,14052,-94,-38,-57

53418,-6240,1628,14564,149,43,68,-8572,1660,13940,-72,-40,-76

53428,-6192,1684,14420,151,21,63,-8492,1700,13976,-89,-47,-72

53438,-6212,1600,14256,140,3,72,-8612,1684,13756,-94,-18,-85

53448,-6144,1640,14352,147,19,68,-8488,1756,13836,-103,-47,-76

53458,-6048,1672,14348,145,22,55,-8492,1648,13844,-91,-35,-56

53468,-6148,1604,14328,149,-3,71,-8524,1640,13768,-78,-37,-70

53478,-6168,1580,14400,142,10,104,-8508,1728,13896,-99,-15,-79

53488,-6096,1604,14196,170,27,82,-8488,1632,13928,-110,-56,-79

53498,-6160,1640,14116,153,12,53,-8472,1716,13804,-87,-71,-70

53508,-6212,1608,14424,170,-17,82,-8472,1720,13920,-60,-48,-77

53518,-6080,1672,14452,125,4,72,-8560,1612,13972,-62,-22,-90

53528,-6136,1592,14500,164,13,54,-8468,1716,13936,-99,-45,-107

53538,-6092,1568,14312,144,-2,83,-8604,1684,13892,-101,-56,-86

53548,-6064,1688,14376,150,3,57,-8588,1680,14008,-85,-64,-65

53558,-6168,1664,14368,162,17,89,-8508,1696,13884,-79,-63,-72

53568,-6080,1660,14336,147,-18,65,-8560,1624,13920,-115,-62,-57

53578,-6228,1600,14468,173,-25,102,-8576,1700,13916,-80,-70,-72

53588,-6124,1604,14452,160,-36,107,-8508,1628,13944,-65,-58,-56

53598,-6076,1672,14288,167,-43,87,-8448,1612,13960,-69,-76,-56

53608,-6084,1684,14392,164,-36,116,-8512,1676,13848,-83,-97,-56

53618,-6168,1664,14312,163,-61,107,-8596,1648,13848,-68,-103,-39

53628,-5996,1668,14248,180,-55,117,-8508,1796,14020,-84,-105,-4

53638,-6088,1704,14352,168,-48,98,-8528,1716,13916,-61,-106,-52

53648,-6120,1704,14348,189,-41,100,-8508,1612,13900,-69,-100,-51

53658,-6044,1700,14312,176,11,85,-8428,1696,13864,-81,-45,-54

53668,-6152,1712,14480,147,14,86,-8556,1708,13796,-95,-34,-51

53678,-6104,1584,14268,179,35,86,-8448,1620,13900,-65,-42,-94

53688,-6016,1704,14432,155,10,61,-8508,1712,13980,-61,-35,-66

53698,-6052,1588,14524,155,49,87,-8400,1656,13896,-54,-23,-70

53708,-6024,1660,14348,167,45,23,-8472,1776,14052,-60,9,-99

53718,-6024,1680,14324,165,56,69,-8440,1744,14084,-58,-7,-84

53728,-6084,1640,14320,199,51,74,-8500,1704,13864,-24,-12,-59

53738,-6064,1784,14292,169,68,53,-8524,1784,13908,-63,27,-72

53748,-6020,1796,14432,148,49,38,-8484,1848,13900,-90,21,-96

53758,-6140,1796,14436,161,71,63,-8536,1748,13920,-101,11,-95

53768,-6112,1736,14476,146,84,37,-8488,1724,14064,-81,21,-88

53778,-6156,1624,14416,148,100,26,-8460,1728,13944,-102,53,-73

53788,-6144,1624,14256,141,97,7,-8476,1736,13928,-91,8,-104

53798,-6012,1756,14304,136,91,29,-8464,1800,13820,-84,26,-82

53808,-6112,1712,14392,164,74,26,-8504,1644,13984,-90,37,-121

53818,-6064,1604,14440,150,101,34,-8520,1608,13828,-73,53,-113

53828,-6144,1656,14348,153,58,35,-8500,1620,13888,-62,25,-107

53838,-6088,1592,14308,140,79,43,-8528,1636,13888,-77,36,-107

53848,-6080,1600,14356,154,70,52,-8476,1636,13976,-87,30,-112

53858,-6032,1712,14268,155,73,42,-8552,1768,13840,-51,23,-101

53868,-6084,1692,14416,153,76,54,-8492,1680,13828,-61,51,-94

53878,-5992,1636,14496,158,58,71,-8512,1708,14004,-56,46,-86

53888,-6200,1588,14568,149,85,49,-8520,1716,13896,-56,4,-119

53898,-6128,1572,14428,195,93,83,-8496,1600,14052,-41,26,-67

53908,-6172,1740,14204,186,77,65,-8576,1708,13960,-32,24,-58

53918,-6112,1532,14492,226,101,74,-8592,1420,13856,-6,69,-51

53928,-6116,1572,14328,233,94,100,-8456,1584,13908,7,68,-22

53938,-6152,1688,14352,240,72,107,-8564,1804,13864,-5,28,-25

53948,-6248,1600,14464,259,126,92,-8516,1680,13880,18,66,-32

53958,-5988,1696,14216,253,108,95,-8392,1876,13952,5,72,-41

53968,-5988,1684,14328,235,137,87,-8376,1828,14036,-1,91,-51

53978,-6140,1760,14412,251,121,83,-8544,1664,13888,-11,55,-51

53988,-6040,1784,14324,217,117,83,-8388,1836,13924,12,38,-56

53998,-6112,1732,14304,210,137,85,-8604,1696,14040,-48,68,-116

54008,-6076,1732,14356,191,120,83,-8564,1836,13832,-32,74,-82

54018,-6152,1628,14384,189,132,56,-8564,1724,13864,-31,79,-84

54028,-6088,1636,14260,192,105,54,-8512,1736,13856,-38,76,-94

54038,-6200,1828,14256,171,88,56,-8520,1780,13884,-67,46,-77

54048,-6128,1732,14368,163,126,60,-8592,1608,13996,-37,44,-85

54058,-6248,1772,14312,182,93,65,-8648,1776,13884,-65,63,-93

54068,-6148,1600,14424,198,87,41,-8484,1656,13988,-41,14,-89

54078,-6124,1780,14432,186,82,86,-8640,1672,13872,-27,26,-64

54088,-6136,1840,14348,215,41,82,-8564,1628,13924,-21,25,-35

54098,-6224,1652,14248,242,30,111,-8628,1556,13804,5,-23,-30

54108,-6188,1672,14356,253,22,108,-8456,1676,13864,10,-42,-7

54118,-6164,1812,14392,250,-3,111,-8536,1740,13928,7,-57,9

54128,-6208,1776,14320,287,-23,140,-8692,1700,13844,55,-97,60

54138,-6120,1620,14376,306,-35,138,-8568,1652,13860,27,-92,30

54148,-6140,1700,14420,295,-38,153,-8428,1740,13816,68,-103,50

54158,-6132,1844,14248,334,-55,186,-8532,1728,14124,57,-100,48

54168,-6152,1500,14540,363,-53,194,-8412,1704,13832,123,-93,34

54178,-6036,1916,14348,323,-81,144,-8488,1888,13956,63,-128,22

54188,-6148,1692,14284,338,-54,193,-8560,1668,13916,57,-125,43

54198,-6284,1896,14320,325,-92,181,-8488,1936,13844,98,-155,43

54208,-6104,1724,14440,341,-102,188,-8576,1820,13932,76,-146,53

54218,-6236,1812,14320,299,-127,204,-8624,1868,13916,78,-173,29

54228,-6132,1900,14364,282,-155,200,-8544,1748,13772,46,-203,37

54238,-6144,1800,14224,276,-159,180,-8472,1824,13996,8,-160,57

54248,-5972,1924,14296,214,-111,185,-8268,1936,13952,0,-150,5

54258,-6000,1888,14164,157,-77,117,-8424,1884,13848,-77,-160,-33

54268,-6040,1856,14428,137,-42,56,-8400,1848,13928,-90,-82,-61

54278,-6156,1828,14412,112,0,40,-8412,2000,14004,-127,-57,-78

54288,-6136,1800,14356,86,41,46,-8420,1868,14064,-144,-51,-86

54298,-6092,1856,14404,106,40,23,-8424,1784,14064,-157,11,-79

54308,-5996,1868,14368,82,37,13,-8368,1820,14024,-137,21,-106

54318,-6016,1660,14416,89,72,10,-8344,1744,14008,-132,36,-111

54328,-6136,1796,14364,81,79,14,-8560,1900,13928,-149,27,-152

54338,-6164,1880,14412,54,76,-8,-8416,1988,13860,-161,24,-166

54348,-6028,1796,14392,27,80,-13,-8456,1844,13980,-195,39,-190

54358,-6072,1852,14276,16,133,-49,-8448,1928,13904,-215,70,-210

54368,-6012,1780,14368,-23,117,-73,-8428,1884,14084,-253,101,-234

54378,-6008,1840,14568,-9,154,-80,-8528,1792,13964,-245,69,-223

54388,-6020,1816,14224,-55,169,-97,-8376,1780,13980,-291,93,-269

54398,-6124,1772,14456,-56,181,-110,-8508,1776,13840,-279,140,-237

54408,-5976,1728,14248,-64,203,-138,-8468,1792,13900,-301,148,-245

54418,-6064,1760,14320,-48,219,-116,-8444,1748,14072,-294,145,-255

54428,-6000,1728,14572,-73,266,-133,-8504,1760,14104,-257,215,-261

54438,-5964,1744,14228,-36,294,-129,-8384,1684,13988,-274,233,-230

54448,-6104,1648,14284,-20,311,-103,-8512,1664,13960,-236,272,-257

54458,-5996,1616,14480,-4,345,-99,-8472,1696,14020,-209,293,-242

54468,-6188,1680,14164,56,370,-106,-8492,1720,13876,-190,319,-230

54478,-6108,1756,14564,57,404,-105,-8612,1728,13916,-159,326,-233

54488,-6124,1588,14328,85,371,-107,-8464,1684,13724,-140,346,-192

54498,-6148,1712,14404,92,372,-85,-8612,1696,13956,-136,319,-234

54508,-6248,1740,14468,91,383,-105,-8572,1724,14012,-127,305,-225

54518,-6316,1684,14464,77,374,-81,-8524,1752,13812,-157,312,-239

54528,-6300,1832,14288,69,328,-82,-8708,1704,13680,-150,293,-272

54538,-6296,1732,14476,74,273,-95,-8636,1700,13940,-164,222,-216

54548,-6352,1692,14356,50,250,-91,-8664,1744,13756,-172,184,-225

54558,-6264,1664,14108,29,211,-66,-8772,1664,13996,-203,103,-219

54568,-6260,1660,14376,27,155,-42,-8644,1696,13824,-192,89,-200

54578,-6248,1656,14216,33,80,-21,-8688,1668,13712,-213,36,-208

54588,-6292,1524,14256,30,37,-14,-8704,1576,13884,-199,-48,-152

54598,-6276,1512,14340,75,2,45,-8672,1552,13720,-115,-49,-81

54608,-6236,1572,14280,126,-58,96,-8608,1564,13804,-117,-104,-53

54618,-6148,1636,14300,159,-36,103,-8580,1572,13840,-57,-107,-20

54628,-6200,1692,14396,168,-16,129,-8600,1696,13932,-48,-92,-30

54638,-6176,1656,14340,171,-17,138,-8528,1628,13964,-59,-84,-22

54648,-6128,1704,14460,167,1,88,-8428,1664,13960,-64,-60,-41

54658,-6232,1708,14420,163,11,92,-8536,1804,13924,-75,-42,-47

54668,-6192,1596,14484,150,37,49,-8492,1768,13864,-118,-49,-76

54678,-6096,1644,14152,139,26,54,-8580,1576,13952,-70,-29,-51

54688,-6088,1600,14464,186,44,94,-8552,1680,14080,-52,-25,-39

54698,-6112,1796,14284,173,65,82,-8640,1804,13884,-68,-2,-62

54708,-6200,1584,14392,181,31,79,-8612,1604,13988,-46,-19,-71

54718,-6124,1716,14280,180,30,85,-8412,1744,13924,-54,16,-66

54728,-6172,1568,14424,209,38,115,-8628,1668,13840,-32,-14,-47

54738,-6156,1680,14276,238,59,128,-8552,1728,13932,-21,-30,-11

54748,-6188,1624,14512,267,48,125,-8540,1640,13924,40,0,-17

54758,-6168,1592,14276,310,32,182,-8484,1568,13864,50,7,-3

