128041,-792,211,1800,34,8,15,-1090,203,1710,-32,-3,-20

128051,-790,200,1807,34,7,11,-1079,201,1727,-27,-2,-25

128061,-792,197,1793,23,8,7,-1080,207,1726,-31,-6,-22

128071,-789,198,1821,32,10,6,-1085,212,1727,-32,2,-29

128081,-785,209,1803,29,8,12,-1097,207,1722,-35,-4,-25

128091,-794,203,1809,25,11,11,-1093,200,1738,-35,-5,-25

128101,-786,203,1818,20,12,14,-1081,202,1734,-25,0,-34

128111,-787,204,1799,26,12,13,-1092,212,1730,-33,6,-33

128121,-788,205,1805,21,12,4,-1088,201,1716,-35,1,-32

128131,-791,203,1804,19,11,7,-1087,201,1713,-34,3,-26

128141,-793,204,1791,27,17,6,-1089,201,1724,-28,6,-36

128151,-796,206,1803,29,17,7,-1093,186,1732,-31,3,-34

128161,-796,204,1807,29,13,7,-1078,200,1734,-26,5,-27

128171,-801,195,1815,34,25,17,-1091,200,1712,-28,0,-32

128181,-797,194,1793,27,11,18,-1093,198,1714,-26,8,-29

128191,-790,197,1816,34,10,11,-1090,195,1708,-26,6,-24

128201,-795,192,1784,28,16,8,-1086,201,1707,-25,9,-25

128211,-806,203,1810,33,16,12,-1090,213,1726,-27,4,-24

128221,-797,199,1808,31,17,16,-1093,196,1703,-28,3,-22

128231,-792,193,1794,34,19,16,-1087,208,1734,-28,3,-28

128241,-794,208,1810,37,15,9,-1079,201,1730,-29,7,-26

128251,-793,207,1797,36,17,9,-1088,208,1748,-24,4,-29

128261,-794,209,1800,39,11,22,-1098,201,1715,-26,-2,-20

128271,-792,206,1792,35,20,8,-1082,200,1726,-20,-3,-31

128281,-793,197,1795,34,18,20,-1101,212,1730,-25,6,-28

128291,-793,203,1797,33,20,13,-1088,190,1710,-23,6,-26

128301,-790,196,1804,37,17,14,-1088,204,1738,-27,10,-25

128311,-809,205,1796,40,16,16,-1087,182,1728,-18,9,-20

128321,-783,204,1817,31,19,21,-1091,204,1730,-22,5,-29

128331,-789,204,1811,41,20,9,-1087,189,1714,-18,13,-23

128341,-801,213,1815,40,16,13,-1084,209,1723,-21,4,-25

128351,-791,192,1800,40,15,11,-1090,195,1735,-17,6,-22

128361,-786,204,1805,37,13,17,-1088,213,1728,-25,-3,-16

128371,-797,197,1804,39,9,13,-1077,194,1730,-25,-4,-17

128381,-791,205,1818,37,13,16,-1088,212,1746,-12,3,-26

128391,-794,197,1808,40,14,8,-1087,199,1735,-24,3,-23

128401,-786,207,1776,38,14,17,-1090,200,1726,-22,5,-22

128411,-784,196,1784,42,13,17,-1091,201,1729,-15,3,-22

128421,-783,213,1798,35,10,16,-1099,199,1732,-20,5,-26

128431,-784,202,1790,38,6,16,-1090,211,1711,-23,2,-24

128441,-793,201,1794,41,13,13,-1083,202,1726,-20,-2,-24

128451,-794,192,1812,36,8,26,-1095,199,1721,-24,-4,-24

128461,-795,212,1811,40,9,11,-1093,194,1721,-17,0,-22

128471,-798,201,1804,44,13,16,-1071,197,1723,-25,5,-32

128481,-793,208,1808,40,12,15,-1088,213,1720,-25,-2,-25

128491,-800,209,1794,36,6,11,-1102,212,1724,-24,-5,-28

128501,-791,203,1799,41,17,13,-1076,202,1731,-24,5,-24

128511,-804,207,1805,36,10,9,-1091,199,1720,-22,8,-25

128521,-791,194,1790,35,14,12,-1093,195,1735,-21,4,-23

128531,-787,198,1800,34,16,11,-1075,210,1722,-18,10,-31

128541,-801,212,1797,44,17,12,-1084,190,1739,-14,5,-17

128551,-804,205,1810,36,15,12,-1092,203,1712,-22,2,-29

128561,-790,208,1825,38,12,10,-1101,207,1711,-26,7,-23

128571,-805,222,1811,36,12,9,-1081,202,1723,-22,9,-31

128581,-799,204,1801,39,16,11,-1098,205,1715,-22,6,-30

128591,-791,200,1776,35,15,12,-1091,213,1718,-19,5,-25

128601,-794,197,1797,45,15,16,-1093,198,1722,-18,1,-26

128611,-792,198,1794,40,16,15,-1090,203,1729,-19,6,-20

128621,-796,209,1795,41,20,21,-1091,213,1705,-18,4,-26

128631,-800,205,1803,34,21,14,-1093,189,1709,-15,6,-28

128641,-783,206,1794,42,15,15,-1097,200,1710,-16,1,-23

128651,-793,189,1797,39,11,20,-1083,204,1725,-17,1,-21

128661,-801,199,1811,40,13,17,-1086,202,1704,-12,-2,-24

128671,-794,207,1805,40,7,28,-1096,199,1711,-19,1,-13

128681,-795,202,1806,49,13,10,-1091,212,1727,-17,-6,-22

128691,-802,214,1785,47,-2,15,-1090,216,1731,-17,-4,-10

128701,-801,207,1800,46,8,18,-1096,206,1730,-15,-5,-19

128711,-791,205,1802,42,1,15,-1085,215,1724,-19,-6,-20

128721,-791,201,1806,50,8,25,-1087,195,1730,-8,-8,-26

128731,-795,213,1783,42,1,20,-1084,209,1738,-11,-15,-21

128741,-775,199,1795,44,7,19,-1079,206,1712,-17,0,-22

128751,-798,204,1807,39,-2,17,-1084,207,1719,-19,0,-24

128761,-792,202,1812,44,8,19,-1082,201,1716,-21,-2,-18

128771,-794,213,1789,43,5,15,-1091,201,1721,-17,0,-21

128781,-794,206,1827,39,11,20,-1096,210,1733,-19,-2,-26

128791,-789,209,1797,44,10,18,-1083,202,1734,-14,-3,-25

128801,-787,204,1808,39,10,16,-1090,208,1696,-21,1,-23

128811,-797,205,1799,41,6,16,-1091,208,1711,-19,-7,-16

128821,-789,215,1823,35,16,11,-1093,210,1711,-25,-1,-17

128831,-791,196,1800,35,10,14,-1090,209,1722,-22,3,-24

128841,-786,204,1803,36,5,11,-1097,200,1726,-26,2,-15

128851,-797,215,1817,39,14,14,-1087,213,1726,-20,-2,-23

